"Name","Brand","Unit","Attribute 1","Attribute 2","Attribute 3"
"Hydrogen Water","(brand=Unknown)","(unit=box)",,,
"Hyper Cream","(brand=Dcash)","(unit=pcs)","(attr=12%)",,
"Hyper Cream","(brand=Dcash)","(unit=pcs)","(attr=9%)",,
"Hyper Cream","(brand=Dcash)","(unit=pcs)","(attr=6%)",,
"Ice Scissere","(brand=Unknown)","(unit=pcs)",,,
"Iron Machin","(brand=Unknown)","(unit=pcs)",,,
"Iron Machin","(brand=Unknown)","(unit=??)",,,
"Isabella Cream","(brand=Unknown)","(unit=pcs)",,,
"Isabella Scrub","(brand=Unknown)","(unit=pcs)",,,
"Jaifoll","(brand=Unknown)","(unit=kg)",,,
"Jar With Cover","(brand=Unknown)","(unit=??)",,,
"Jesocaine Gel","(brand=Unknown)","(unit=pcs)",,,
"Jojoba Hot Oil Theatment","(brand=Unknown)","(unit=pcs)",,,
"Kajol","(brand=Unknown)","(unit=pcs)","(attr=Black)",,
"Kajol","(brand=Unknown)","(unit=pcs)","(attr=White)",,
"Kalima","(brand=Unknown)","(unit=??)",,,
"Kata Clip","(brand=Unknown)","(unit=box)",,,
"kata Clip","(brand=Unknown)","(unit=box)","(size=small)",,
"Knife","(brand=Unknown)","(unit=?)",,,
"Kushion","(brand=Unknown)","(unit=???)",,,
"Lackto Calamine","(brand=Unknown)","(unit=pcs)",,,
"Lacto Tan Clear","(brand=Unknown)","(unit=pcs)",,,
"Lavender Oil","(brand=Aroma Magic)","(unit=pcs)",,,
"Lecar Gallon","(brand=Unknown)","(unit=???)",,,
"Lemon Powder","(brand=Chaka)","(unit=kg)",,,
"Lemon Powder","(brand=Wheel)","(unit=kg)",,,
"Lip Glose","(brand=Unknown)","(unit=pcs)",,,
"Lip liner","(brand=Unknown)","(unit=pcs)",,,
"Lip Stick","(brand=Unknown)","(unit=pcs)",,,
"Lip Stick","(brand=Unknown)","(unit=???)","(attr=Golden Rose)",,
"Livon","(brand=Unknown)","(unit=pcs)",,,
"Losse Powder","(brand=Unknown)","(unit=pcs)",,,
"Lotion","(brand=Jhonson)","(unit=pcs)",,,
"M.P Bag","(brand=Unknown)","(unit=??)",,,
"Make Up Brush Set Bag","(brand=Unknown)","(unit=pcs)",,,
"Make up Thing","(brand=Unknown)","(unit=pcs)","(attr=CircleShape)",,
"Make Up Thing","(brand=Unknown)","(unit=pcs)","(attr=Oval","Shap)",
"Malamine Bati","(brand=Unknown)","(unit=??)",,,
"Malamine Bowl","(brand=Unknown)","(unit=???)","(size=big)",,
"Malamine Bowl","(brand=Unknown)","(unit=???)","(size=small)",,
"Malamine Bowl","(brand=Unknown)","(unit=???)","(size=soup)",,
